"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Essential Oil Perfumes Set of 5 Fragrances,","https://m.media-amazon.com/images/I/71eXh0427GL._SL1500_.jpg","Amazon Finds Under 499","","Essential Oil Perfumes Set of 5 Fragrances, Frangipani, Rose, Lavender, Jasmine, Ylang Ylang 5ml Each Long lasting fragrances for Men Women Premium Scent Gift for Anniversary and Occassions.","https://onlypresents.store/product/31vo2j","","gift set, perfume, unisex, for her, for him, under 500"
"ZOCI VOCI Personalized Valentine Gift for Couple","https://m.media-amazon.com/images/I/81b9WaTDnYL._SL1500_.jpg","Valentine Day Gift Ideas","","ZOCI VOCI Personalized Valentine Gift for Couple LED Photo Frame Customized Anniversary Gift for Wife Husband Photo Engraved Lamp (RGB Smooth (No Remote)).","https://onlypresents.store/product/n4ti8s","","couple, for her, for him, gift set, home decor, premium, romantic"
"ZAVYA Unisex Adult 925 Sterling Silver Ring Gold","https://m.media-amazon.com/images/I/414A5y5UC-L._SY575_.jpg","Cute Couple Gifts Ideas","","ZAVYA Unisex Adult 925 Sterling Silver Ring Gold Plated Cherished s Gift Ideas Couple Ring With Certificate of Authenticity and 925 Hallmark,Adjustable.","https://onlypresents.store/product/r89bjg","","couple, for her, for him, gift set, premium, romantic"
"SATYAM KRAFT 1 Set Romantic Proposal Couple","https://m.media-amazon.com/images/I/51pY4r4fw8L.jpg","Valentine Day Gift Ideas","","SATYAM KRAFT 1 Set Romantic Proposal Couple Figurine Groom Proposing Bride Mini Decorative Showpiece Valentine Gift for Girlfriend Boyfriend Wife Husband Wedding Anniversary Home Table Desk Decor.","https://onlypresents.store/product/phhbbn","","couple, for her, for him, gift set, home decor, romantic, under 500"
"CraftVatika Love Couple Miniature Showpiece with","https://m.media-amazon.com/images/I/71l1kJf-C0L._SL1500_.jpg","Valentine Day Gift Ideas","","CraftVatika Love Couple Miniature Showpiece with Light Valentines Day Gift for Boyfriend Girlfriend, Wife Husband Valentine Decoration Gift Item.","https://onlypresents.store/product/fw7il1","","couple, for her, for him, gift set, home decor, romantic, under 500"
"3 Years Anniversary Valentines Day Mug Cactus","https://m.media-amazon.com/images/I/61DLOi80V9L._SL1500_.jpg","Valentine Day Gift Ideas","","3 Years Anniversary Valentines Day Mug Cactus Theme Third Year Anniversary Funny Boyfriend Girlfriend Couple Gift Idea for Mens and Womens White 11oz Ceramic Coffee Mug.","https://onlypresents.store/product/oje0c6","","couple, for her, for him, gift set, mug, romantic, under 500"
"AXU Craftial Curve I Love You Couple Valentine","https://m.media-amazon.com/images/I/71ZgIWvZotL._SL1500_.jpg","Valentine Day Gift Ideas","","AXU Craftial Curve I Love You Couple Valentine Romantic Proposal Wedding Gift idea Romantic Theme Silicone Mold.","https://onlypresents.store/product/wllooa","","couple, for her, for him, gift set, romantic"
"DAYS Mug of PositivTea Motivational Self Care","https://m.media-amazon.com/images/I/81wbzfbr7IL._SL1500_.jpg","Amazon Finds Under 499","","DAYS Mug of PositivTea Motivational Self Care Manifest Affirmation Mindset Affirmation Mug Gift for Her Colourful Positivity Cup Christmas Gift for Her Birthday Gift Bestie.","https://onlypresents.store/product/x6vppe","","mug, motivational, self care, for her, under 500"
"ZART Polyresin Family Couple Showpiece for Home","https://m.media-amazon.com/images/I/81R5nZZ8JcL._SL1500_.jpg","Cute Couple Gifts Ideas","","ZART Polyresin Family Couple Showpiece for Home Decor for Couple Gifts Item.","https://onlypresents.store/product/cnt3bm","","couple, for her, for him, gift set, home decor, premium, romantic"
"ExclusiveLane ChitChatting Old Couple Decorative","https://m.media-amazon.com/images/I/719UZjnWAML._SL1500_.jpg","Cute Couple Gifts Ideas","","ExclusiveLane ChitChatting Old Couple Decorative Couple Showpiece for Home Dcor (Resin, 6. 7 Inch, Multicolor) Showpiece for Living Room for Gift for Husband Wife Grandparent Statue.","https://onlypresents.store/product/g06qmt","","couple, for her, for him, gift set, home decor, premium, romantic"
"HC VILLA Mini Couples Miniature Valentines Day","https://m.media-amazon.com/images/I/61pYb9odhEL._SL1500_.jpg","Valentine Day Gift Ideas","","HC VILLA Mini Couples Miniature Valentines Day Romantic Gift for Boyfriend, Girlfriend, Husband, Wife Perfect for Teddy Day, Rose Day, Wedding Anniversary, Birthday Gifts Decorative Dolls Showpiece.","https://onlypresents.store/product/quwz8f","","couple, cute, for her, for him, gift set, home decor, romantic, soft toy, under 500"
